slug,name,description,axis,seo_title,seo_description,published,sort_order
grote-bomen,Grote bomen,Volwassen en monumentale bomen.,specialisatie,Grote bomen in de regio Antwerpen,Boomverzorgers met ervaring in volwassen en monumentale bomen in en rond Antwerpen.,yes,230
boomveiligheid,Boomveiligheid,Beoordelen en beheersen van risico rond bomen.,specialisatie,Boomveiligheid in de regio Antwerpen,Wie boomveiligheid beoordeelt en beheert in en rond Antwerpen.,yes,240
bomenbeheer,Bomenbeheer,"Beheerplannen, inventarisatie en meerjarig onderhoud.",specialisatie,Bomenbeheer in de regio Antwerpen,Boomexperten die bomenbestanden inventariseren en beheren in en rond Antwerpen.,yes,250
etw,ETW,European Tree Worker — het Europese certificaat voor de uitvoerende boomverzorger.,certificering,ETW-gecertificeerde boomverzorgers in de regio Antwerpen,Boomverzorgers met een European Tree Worker-certificaat in en rond Antwerpen.,yes,310
ett,ETT,European Tree Technician — het certificaat voor de adviserende boomexpert.,certificering,ETT-gecertificeerde boomexperten in de regio Antwerpen,Boomexperten met een European Tree Technician-certificaat in en rond Antwerpen.,yes,320
qtra,QTRA,Quantified Tree Risk Assessment — gekwantificeerde risicobeoordeling.,certificering,QTRA-boomverzorgers in de regio Antwerpen,Wie met de QTRA-methode het risico van bomen beoordeelt in en rond Antwerpen.,yes,330
overige-certificering,Overige certificering,Andere vakcertificaten dan ETW/ETT/QTRA.,certificering,Overige certificering in de boomverzorging,Boomverzorgers met andere vakcertificaten in en rond Antwerpen.,yes,340
touwtechniek,Touwtechniek,Klimmend werken met touw en harnas.,materieel,Boomverzorging met touwtechniek in de regio Antwerpen,Boomverzorgers die met touwtechniek werken in en rond Antwerpen.,yes,410
hoogwerker,Hoogwerker,Werken vanuit een hoogwerker.,materieel,Boomverzorging met hoogwerker in de regio Antwerpen,Boomverzorgers die met een hoogwerker werken in en rond Antwerpen.,yes,420
kraan,Kraan,Kraan of takelwagen voor zware demontage.,materieel,Boomdemontage met kraan in de regio Antwerpen,Boomverzorgers met kraan voor zware demontage in en rond Antwerpen.,yes,430
stobbenfrees,Stobbenfrees,Eigen freesmachine voor stronken.,materieel,Stobbenfrezen in de regio Antwerpen,Boomverzorgers met een eigen stobbenfrees in en rond Antwerpen.,yes,440
particulieren,Particulieren,Werk voor tuineigenaars.,klant,Boomverzorgers voor particulieren in de regio Antwerpen,Boomverzorgers die voor particulieren werken in en rond Antwerpen.,yes,510
bedrijven,Bedrijven,"Werk voor bedrijven, terreinen en tuinaannemers.",klant,Boomverzorgers voor bedrijven in de regio Antwerpen,Boomverzorgers die voor bedrijven en terreinbeheerders werken in en rond Antwerpen.,yes,520
overheden-vme,Overheden en VME,"Werk voor gemeenten, overheden en mede-eigendommen.",klant,Boomverzorgers voor overheden en VME in de regio Antwerpen,"Boomverzorgers die voor overheden, syndici en VME werken in en rond Antwerpen.",yes,530
regulier,Regulier,Gepland werk op afspraak.,beschikbaarheid,Boomverzorgers voor gepland werk in de regio Antwerpen,Boomverzorgers voor gepland onderhoud in en rond Antwerpen.,yes,610
dringende-interventie,Dringende interventie,Uitrukken bij acuut gevaar of stormschade.,beschikbaarheid,Dringende boominterventie in de regio Antwerpen,Boomverzorgers die uitrukken bij acuut gevaar of stormschade in en rond Antwerpen.,yes,620
boomverzorger,Boomverzorger,Uitvoerend boomverzorgingsbedrijf.,providertype,Boomverzorgers in de regio Antwerpen,"Uitvoerende boomverzorgingsbedrijven in en rond Antwerpen, met standplaats en werkgebied.",yes,710
boomexpert,Boomexpert of consultant,"Adviserend: onderzoek, beheer en rapportage.",providertype,Boomexperten en consultants in de regio Antwerpen,"Adviserende boomexperten voor onderzoek, beheer en rapportage in en rond Antwerpen.",yes,720
boomwerken-bosexploitatie,Boomwerken en bosexploitatie,"Zwaarder werk: houtkap, rooien en bosexploitatie.",providertype,Boomwerken en bosexploitatie in de regio Antwerpen,"Bedrijven voor houtkap, rooien en bosexploitatie in en rond Antwerpen.",yes,730
